Taxon.number,Genus.species,Species,On morphosource?,How many?,Use?,Link,Link2,Link3,Link4,Link5,
1,Polypterus,,Y,1,,https://www.morphosource.org/Detail/MediaDetail/Show/media_id/16753,,,,,
2,Acipenser,,N,,,,,,,,
3,Polyodon spatula,,N,,,,,,,,
4,Amia calva,,Y,1,,https://www.morphosource.org/Detail/MediaDetail/Show/media_id/15309,,,,,
5,Atractosteus,,Y,1,,https://www.morphosource.org/Detail/MediaDetail/Show/media_id/29218,,,,,
5,Lepisosteus,,Y,2,,https://www.morphosource.org/Detail/MediaDetail/Show/media_id/15318,https://www.morphosource.org/Detail/MediaDetail/Show/media_id/16487,,,,
6,Atractosteus,,5,,,,,,,,
6,Lepisosteus,,5,,,,,,,,
7,Megalops,,Y,3,,https://www.morphosource.org/Detail/MediaDetail/Show/media_id/22371,https://www.morphosource.org/Detail/MediaDetail/Show/media_id/22442,https://www.morphosource.org/Detail/MediaDetail/Show/media_id/29077,,,
8,Osteoglossum bicirrhosum,,Y,3,,https://www.morphosource.org/Detail/MediaDetail/Show/media_id/16471,https://www.morphosource.org/Detail/MediaDetail/Show/media_id/26519,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/13255,,,
9,Heterotis niloticus,,Y,2,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/13287,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/13287,,,,
10,Clupea,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/6226,,,,,
11,Harengula,,N,,,,,,,,
12,Sardinella,,Y,5,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/7099,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/7100,https://www.morphosource.org/Detail/MediaDetail/Show/media_id/16526,https://www.morphosource.org/Detail/MediaDetail/Show/media_id/26474,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/13232,
13,Opisthonema,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/7316,,,,,
14,Anchoa,,Y,2,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/6162,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/7166,,,,
15,Sardinops sagax,,Y,2,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/7317,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/7325,,,,
16,Chanos chanos,,N,,,,,,,,
17,Hypophthalmichthys,,N,,,,,,,,
18,Danio,,Y,1,,https://osf.io/2c59z/wiki/home/,,,,,
19,Cyprinus carpio,,N,,,,,,,,
20,Carassius auratus,,N,,,,,,,,
22,Acanthopsoides,,N,,,,,,,,
22,Acantopsis,,N,,,,,,,,
22,Ambastaia,,N,,,,,,,,
22,Bibarba,,N,,,,,,,,
22,Botia,,N,,,,,,,,
22,Canthophrys,,N,,,,,,,,
22,Chromobotia,,Y,2,,https://www.morphosource.org/Detail/MediaDetail/Show/media_id/19992,https://www.morphosource.org/Detail/MediaDetail/Show/media_id/19993,,,,
22,Cobitis,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/13350,,,,,
22,Iksookimia,,N,,,,,,,,
22,Kichulchoia,,N,,,,,,,,
22,Koreocobitis,,N,,,,,,,,
22,Kottelatlimia,,Y,2,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/13324,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/13324,,,,
22,Lepidocephalichthys,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/13313,,,,,
22,Lepidocephalus,,N,,,,,,,,
22,Leptobotia,,N,,,,,,,,
22,Microcobitis,,N,,,,,,,,
22,Misgurnus,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/13341,,,,,
22,Neoeucirrhichthys,,N,,,,,,,,
22,Niwaella,,N,,,,,,,,
22,Pangio,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/13314,,,,,
22,Parabotia,,N,,,,,,,,
22,Paralepidocephalus,,N,,,,,,,,
22,Paramisgurnus,,N,,,,,,,,
22,Protocobitis,,N,,,,,,,,
22,Sabanejewia,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/9400,,,,,
22,Sinibotia,,N,,,,,,,,
22,Syncrossus,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/13368,,,,,
22,Theriodes,,N,,,,,,,,
22,Yasuhikotakia,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/13372,,,,,
23,Acanthocharax,,N,,,,,,,,
23,Acestrocephalus,,N,,,,,,,,
23,Acinocheirodon,,N,,,,,,,,
23,Acrobrycon,,N,,,,,,,,
23,Amazonspinther,,N,,,,,,,,
23,Aphyocharacidium,,N,,,,,,,,
23,Aphyocharax,,N,,,,,,,,
23,Aphyocheirodon,,N,,,,,,,,
23,Aphyodite,,N,,,,,,,,
23,Argopleura,,N,,,,,,,,
23,Astyanacinus,,N,,,,,,,,
23,Astyanax,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/6225,,,,,
23,Atopomesus,,N,,,,,,,,
23,Attonitus,,N,,,,,,,,
23,Aulixidens,,N,,,,,,,,
23,Axelrodia,,N,,,,,,,,
23,Bario,,N,,,,,,,,
23,Boehlkea,,N,,,,,,,,
23,Brachychalcinus,,N,,,,,,,,
23,Bramocharax,,N,,,,,,,,
23,Brittanichthys,,N,,,,,,,,
23,Bryconacidnus,,N,,,,,,,,
23,Bryconadenos,,N,,,,,,,,
23,Bryconamericus,,N,,,,,,,,
23,Bryconella,,N,,,,,,,,
23,Bryconexodon,,N,,,,,,,,
23,Caiapobrycon,,N,,,,,,,,
23,Carlana,,N,,,,,,,,
23,Ceratobranchia,,N,,,,,,,,
23,Chalceus,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/6838,,,,,
23,Charax,,Y,3,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/9559,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/9559,,,,
23,Cheirodon,,N,,,,,,,,
23,Cheirodontops,,N,,,,,,,,
23,Chrysobrycon,,N,,,,,,,,
23,Compsura,,N,,,,,,,,
23,Coptobrycon,,N,,,,,,,,
23,Corynopoma,,N,,,,,,,,
23,Creagrutus,,N,,,,,,,,
23,Ctenobrycon,,N,,,,,,,,
23,Ctenocheirodon,,N,,,,,,,,
23,Cyanocharax,,N,,,,,,,,
23,Cynopotamus,,N,,,,,,,,
23,Dectobrycon,,N,,,,,,,,
23,Deuterodon,,N,,,,,,,,
23,Diapoma,,N,,,,,,,,
23,Ectrepopterus,,N,,,,,,,,
23,Erythrocharax,,N,,,,,,,,
23,Exodon,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/8074,,,,,
23,Galeocharax,,N,,,,,,,,
23,Genycharax,,N,,,,,,,,
23,Gephyrocharax,,N,,,,,,,,
23,Glandulocauda,,N,,,,,,,,
23,Grundulus,,N,,,,,,,,
23,Gymnocharacinus,,N,,,,,,,,
23,Gymnocorymbus,,N,,,,,,,,
23,Gymnotichthys,,N,,,,,,,,
23,Hasemania,,N,,,,,,,,
23,Hemibrycon,,N,,,,,,,,
23,Hemigrammus,,N,,,,,,,,
23,Heterocheirodon,,N,,,,,,,,
23,Hollandichthys,,N,,,,,,,,
23,Hyphessobrycon,,N,,,,,,,,
23,Hypobrycon,,N,,,,,,,,
