"","Taxon","Order","Family","Genus","Species"
"1","1","Polypteriformes","Polypteridae","Polypterus",""
"2","4","Amiiformes","Amiidae","Amia calva",""
"3","5","Lepisosteiformes","Lepisosteidae","Atractosteus",""
"4","5","Lepisosteiformes","Lepisosteidae","Lepisosteus",""
"5","5","Lepisosteiformes","Lepisosteidae","Lepisosteus",""
"6","7","Elopiformes","Megalopidae","Megalops",""
"7","7","Elopiformes","Megalopidae","Megalops",""
"8","7","Elopiformes","Megalopidae","Megalops",""
"9","8","Osteoglossiformes","Osteoglossidae","Osteoglossum bicirrhosum",""
"10","8","Osteoglossiformes","Osteoglossidae","Osteoglossum bicirrhosum",""
"11","8","Osteoglossiformes","Osteoglossidae","Osteoglossum bicirrhosum",""
"12","9","Osteoglossiformes","Arapaimidae","Heterotis niloticus",""
"13","9","Osteoglossiformes","Arapaimidae","Heterotis niloticus",""
"14","10","Clupeiformes","Clupeidae","Clupea",""
"15","12","Clupeiformes","Clupeidae","Sardinella",""
"16","12","Clupeiformes","Clupeidae","Sardinella",""
"17","12","Clupeiformes","Clupeidae","Sardinella",""
"18","12","Clupeiformes","Clupeidae","Sardinella",""
"19","12","Clupeiformes","Clupeidae","Sardinella",""
"20","13","Clupeiformes","Clupeidae","Opisthonema",""
"21","14","Clupeiformes","Engraulidae","Anchoa",""
"22","14","Clupeiformes","Engraulidae","Anchoa",""
"23","15","Clupeiformes","Clupeidae","Sardinops sagax",""
"24","15","Clupeiformes","Clupeidae","Sardinops sagax",""
"25","18","Cypriniformes","Cyprinidae","Danio",""
"26","22","Cypriniformes","Cobitidae","Chromobotia",""
"27","22","Cypriniformes","Cobitidae","Chromobotia",""
"28","22","Cypriniformes","Cobitidae","Cobitis",""
"29","22","Cypriniformes","Cobitidae","Kottelatlimia",""
"30","22","Cypriniformes","Cobitidae","Kottelatlimia",""
"31","22","Cypriniformes","Cobitidae","Lepidocephalichthys",""
"32","22","Cypriniformes","Cobitidae","Misgurnus",""
"33","22","Cypriniformes","Cobitidae","Pangio",""
"34","22","Cypriniformes","Cobitidae","Sabanejewia",""
"35","22","Cypriniformes","Cobitidae","Syncrossus",""
"36","22","Cypriniformes","Cobitidae","Yasuhikotakia",""
"37","23","Characiformes","Characidae","Astyanax",""
"38","23","Characiformes","Characidae","Chalceus",""
"39","23","Characiformes","Characidae","Charax",""
"40","23","Characiformes","Characidae","Charax",""
"41","23","Characiformes","Characidae","Charax",""
"42","23","Characiformes","Characidae","Exodon",""
"43","23","Characiformes","Characidae","Leptobrycon",""
"44","23","Characiformes","Characidae","Roeboides",""
"45","23","Characiformes","Characidae","Roeboides",""
"46","23","Characiformes","Characidae","Roeboides",""
"47","23","Characiformes","Characidae","Roeboides",""
"48","23","Characiformes","Characidae","Roeboides",""
"49","23","Characiformes","Characidae","Roeboides",""
"50","24","Characiformes","Serrasalmidae","Pygocentrus",""
"51","24","Characiformes","Serrasalmidae","Pygocentrus",""
"52","24","Characiformes","Serrasalmidae","Pygocentrus",""
"53","29","Siluriformes","Ictaluridae","Ictalurus punctatus",""
"54","29","Siluriformes","Ictaluridae","Ictalurus punctatus",""
"55","30","Siluriformes","Loricariidae","Acanthicus",""
"56","30","Siluriformes","Loricariidae","Chaetostoma",""
"57","30","Siluriformes","Loricariidae","Cordylancistrus",""
"58","30","Siluriformes","Loricariidae","Harttia",""
"59","30","Siluriformes","Loricariidae","Leporacanthicus",""
"60","30","Siluriformes","Loricariidae","Panaque",""
"61","31","Siluriformes","Ariidae","Bagre",""
"62","32","Siluriformes","Clariidae","Clarias",""
"63","33","Siluriformes","Bagridae","Mystus",""
"64","33","Siluriformes","Bagridae","Mystus",""
"65","33","Siluriformes","Bagridae","Rita",""
"66","34","Argentiniformes","Opisthoproctidae","Dolichopteryx",""
"67","36","Esociformes","Esocidae","Esox",""
"68","41","Stomiiformes","","Gonostoma",""
"69","41","Stomiiformes","","Ichthyococcus",""
"70","41","Stomiiformes","","Argyropelecus",""
"71","41","Stomiiformes","","Argyropelecus",""
"72","41","Stomiiformes","","Argyropelecus",""
"73","41","Stomiiformes","","Argyropelecus",""
"74","41","Stomiiformes","","Polyipnus",""
"75","41","Stomiiformes","","Sternoptyx",""
"76","41","Stomiiformes","","Borostomias",""
"77","41","Stomiiformes","","Chauliodus",""
"78","41","Stomiiformes","","Echiostoma",""
"79","41","Stomiiformes","","Eustomias",""
"80","41","Stomiiformes","","Stomias",""
"81","41","Stomiiformes","","Stomias",""
"82","47","Perciformes","Coryphaenidae","Coryphaena hippurus",""
"83","49","Lampriformes","Trachipteridae","Desmodema",""
"84","51","Beryciformes","Monocentridae","Monocentris",""
"85","54","Ophidiiformes","Ophidiidae","Porogadus miles",""
"86","56","Batrachoidiformes","Batrachoididae","Allenbatrachus",""
"87","56","Batrachoidiformes","Batrachoididae","Amphichthys",""
"88","56","Batrachoidiformes","Batrachoididae","Aphos",""
"89","56","Batrachoidiformes","Batrachoididae","Barchatus",""
"90","56","Batrachoidiformes","Batrachoididae","Barchatus",""
"91","56","Batrachoidiformes","Batrachoididae","Batrachoides",""
"92","56","Batrachoidiformes","Batrachoididae","Batrachoides",""
"93","56","Batrachoidiformes","Batrachoididae","Batrachoides",""
"94","56","Batrachoidiformes","Batrachoididae","Batrachoides",""
"95","56","Batrachoidiformes","Batrachoididae","Batrachoides",""
"96","56","Batrachoidiformes","Batrachoididae","Batrachoides",""
"97","56","Batrachoidiformes","Batrachoididae","Batrachoides",""
"98","56","Batrachoidiformes","Batrachoididae","Batrachomoeus",""
"99","56","Batrachoidiformes","Batrachoididae","Batrachomoeus",""
"100","56","Batrachoidiformes","Batrachoididae","Bifax",""
"101","56","Batrachoidiformes","Batrachoididae","Chatrabus",""
"102","56","Batrachoidiformes","Batrachoididae","Colletteichthys",""
"103","56","Batrachoidiformes","Batrachoididae","Daector",""
"104","56","Batrachoidiformes","Batrachoididae","Daector",""
"105","56","Batrachoidiformes","Batrachoididae","Halophryne",""
"106","56","Batrachoidiformes","Batrachoididae","Halophryne",""
"107","56","Batrachoidiformes","Batrachoididae","Opsanus",""
"108","56","Batrachoidiformes","Batrachoididae","Opsanus",""
"109","56","Batrachoidiformes","Batrachoididae","Opsanus",""
"110","56","Batrachoidiformes","Batrachoididae","Perulibatrachus",""
"111","56","Batrachoidiformes","Batrachoididae","Porichthys",""
"112","56","Batrachoidiformes","Batrachoididae","Porichthys",""
"113","56","Batrachoidiformes","Batrachoididae","Porichthys",""
"114","56","Batrachoidiformes","Batrachoididae","Porichthys",""
"115","56","Batrachoidiformes","Batrachoididae","Porichthys",""
"116","56","Batrachoidiformes","Batrachoididae","Porichthys",""
"117","56","Batrachoidiformes","Batrachoididae","Sanopus",""
"118","56","Batrachoidiformes","Batrachoididae","Sanopus",""
"119","56","Batrachoidiformes","Batrachoididae","Sanopus",""
"120","56","Batrachoidiformes","Batrachoididae","Thalassophryne",""
"121","56","Batrachoidiformes","Batrachoididae","Thalassophryne",""
"122","56","Batrachoidiformes","Batrachoididae","Triathalassothia",""
"123","56","Batrachoidiformes","Batrachoididae","Vladichthys",""
"124","57","Gobiiformes","Gobiidae","Aulopareia",""
"125","57","Gobiiformes","Gobiidae","Barbulifer",""
"126","57","Gobiiformes","Gobiidae","Chromogobius",""
"127","57","Gobiiformes","Gobiidae","Gillichthys",""
"128","57","Gobiiformes","Gobiidae","Gobiopterus",""
"129","57","Gobiiformes","Gobiidae","Gobius",""
"130","57","Gobiiformes","Gobiidae","Papuligobius",""
"131","57","Gobiiformes","Gobiidae","Risor",""
"132","57","Gobiiformes","Gobiidae","Sicydium",""
"133","57","Gobiiformes","Gobiidae","Sicyopus",""
"134","57","Gobiiformes","Gobiidae","Vanderhorstia",""
"135","58","Gobiiformes","Gobiidae","Aulopareia",""
"136","58","Gobiiformes","Gobiidae","Chromogobius",""
"137","58","Gobiiformes","Gobiidae","Gillichthys",""
"138","58","Gobiiformes","Gobiidae","Gobiopterus",""
"139","58","Gobiiformes","Gobiidae","Gobius",""
"140","58","Gobiiformes","Gobiidae","Papuligobius",""
"141","58","Gobiiformes","Gobiidae","Risor",""
"142","58","Gobiiformes","Gobiidae","Sicydium",""
"143","58","Gobiiformes","Gobiidae","Sicyopus",""
"144","58","Gobiiformes","Gobiidae","Vanderhorstia",""
"145","59","Gobiiformes","Gobiidae","Aulopareia",""
"146","59","Gobiiformes","Gobiidae","Chromogobius",""
"147","59","Gobiiformes","Gobiidae","Gillichthys",""
"148","59","Gobiiformes","Gobiidae","Gobiopterus",""
"149","59","Gobiiformes","Gobiidae","Gobius",""
"150","59","Gobiiformes","Gobiidae","Papuligobius",""
"151","59","Gobiiformes","Gobiidae","Risor",""
"152","59","Gobiiformes","Gobiidae","Sicydium",""
"153","59","Gobiiformes","Gobiidae","Sicyopus",""
"154","59","Gobiiformes","Gobiidae","Vanderhorstia",""
"155","60","Gobiiformes","Gobiidae","Aulopareia",""
"156","60","Gobiiformes","Gobiidae","Chromogobius",""
"157","60","Gobiiformes","Gobiidae","Gillichthys",""
"158","60","Gobiiformes","Gobiidae","Gobiopterus",""
"159","60","Gobiiformes","Gobiidae","Gobius",""
"160","60","Gobiiformes","Gobiidae","Papuligobius",""
"161","60","Gobiiformes","Gobiidae","Risor",""
"162","60","Gobiiformes","Gobiidae","Sicydium",""
"163","60","Gobiiformes","Gobiidae","Sicyopus",""
"164","60","Gobiiformes","Gobiidae","Vanderhorstia",""
"165","62","Syngnathiformes","Syngnathidae","Hippocampus",""
"166","63","Anabantiformes","Osphronemidae","Betta",""
"167","65","Perciformes","Carangidae","Caranx hippos",""
"168","75","Perciformes","Grammatidae","Gramma loreto",""
"169","83","Beloniformes","Belonidae","Ablennes",""
"170","83","Beloniformes","Belonidae","Belone",""
"171","83","Beloniformes","Belonidae","Belonion",""
"172","83","Beloniformes","Belonidae","Belonion",""
"173","83","Beloniformes","Belonidae","Petalichthys",""
"174","83","Beloniformes","Belonidae","Pseudotylosurus",""
"175","83","Beloniformes","Belonidae","Strongylura",""
"176","83","Beloniformes","Belonidae","Strongylura",""
"177","83","Beloniformes","Belonidae","Xenentodon",""
"178","84","Atheriniformes","Atherinopsidae","Menidia menidia",""
"179","85","Cyprinodontiformes","Poeciliidae","Poecilia",""
"180","86","Cyprinodontiformes","Cyprinodontidae","Cubanichthys",""
"181","86","Cyprinodontiformes","Cyprinodontidae","Floridichthys",""
"182","89","Perciformes","Centrarchidae","Micropterus salmoides",""
"183","91","Scorpaeniformes","Cottidae","Artedius",""
"184","91","Scorpaeniformes","Cottidae","Artedius",""
"185","91","Scorpaeniformes","Cottidae","Artedius",""
"186","91","Scorpaeniformes","Cottidae","Artedius",""
"187","92","Labriformes","Labridae","Anampses",""
"188","92","Labriformes","Labridae","Anampses",""
"189","92","Labriformes","Labridae","Anampses",""
"190","92","Labriformes","Labridae","Bodianus",""
"191","92","Labriformes","Labridae","Cheilinus",""
"192","92","Labriformes","Labridae","Choerodon",""
"193","92","Labriformes","Labridae","Clepticus",""
"194","92","Labriformes","Labridae","Coris",""
"195","92","Labriformes","Labridae","Coris",""
"196","92","Labriformes","Labridae","Decodon",""
"197","92","Labriformes","Labridae","Diproctacanthus",""
"198","92","Labriformes","Labridae","Doratonotus",""
"199","92","Labriformes","Labridae","Epibulus",""
"200","92","Labriformes","Labridae","Gomphosus",""
"201","92","Labriformes","Labridae","Halichoeres",""
"202","92","Labriformes","Labridae","Halichoeres",""
"203","92","Labriformes","Labridae","Halichoeres",""
"204","92","Labriformes","Labridae","Halichoeres",""
"205","92","Labriformes","Labridae","Halichoeres",""
"206","92","Labriformes","Labridae","Halichoeres",""
"207","92","Labriformes","Labridae","Halichoeres",""
"208","92","Labriformes","Labridae","Halichoeres",""
"209","92","Labriformes","Labridae","Halichoeres",""
"210","92","Labriformes","Labridae","Hemigymnus",""
