Order,Family ,Genus,Species,Species list entry
Polypteriformes,Polypteridae,Polypterus,,Polypterus
Acipenseriformes,Acipenseridae,Acipenser,,Sturgeon
Acipenseriformes,Polyodontidae,Polyodon,spatula,Acipenseriformes
Amiiformes,Amiidae,Amia,calva,Amia
Lepisosteiformes,Lepisosteidae,,,Gar
Lepisosteiformes,Lepisosteidae,,,Gar
Elopiformes,Megalopidae,Megalops,,Tarpon
Osteoglossiformes,Osteoglossidae,Osteoglossum,bicirrhosum,Osteoglossum bicirrhosum
Osteoglossiformes,Arapaimidae,Heterotis,niloticus,Heterotis niloticus
Clupeiformes,Clupeidae,Clupea,,Clupea
Clupeiformes,Clupeidae,Harengula,,Harengula
Clupeiformes,Clupeidae,Sardinella,,Sardinella
Clupeiformes,Clupeidae,Opisthonema,,Opisthonema
Clupeiformes,Engraulidae,Anchoa,,Anchoa
Clupeiformes,Clupeidae,Sardinops,sagax,Sardinops
Gonorynchiformes,Chanidae,Chanos,chanos,Chanos chanos
Cypriniformes,Cyprinidae,Hypophthalmichthys,,Hypothalmichthys
Cypriniformes,Cyprinidae,Danio,,Danio
Cypriniformes,Cyprinidae,Cyprinus,carpio,Common carp
Cypriniformes,Cyprinidae,Carassius,auratus,Goldfish
Cypriniformes,Catastomidae,,,Catastomid (carp)...cyprinus
Cypriniformes,Cobitidae,,,Loach
Characiformes,Characidae,,,Tetra
Characiformes,Serrasalmidae,Pygocentrus,,Pygocentrus
Characiformes,,Hemigrammus,,Hemmigrammus
Characiformes,Alestidae,Hydrocynus,,Hydrocynus
Gymnotiformes,Gymnotiformes,,,Gymnotiforme
Gymnotiformes,Gymnotiformes,,,Gymnotiforme
Siluriformes,Ictaluridae,Ictalurus,punctatus,Ictalurus punctatus
Siluriformes,Loricariidae,,,Loricariid
Siluriformes,Ariidae,,,Ariidae
Siluriformes,Clariidae,,,Clariidae
Siluriformes,Bagridae,,,Bagridae
Argentiniformes,Opisthoproctidae,,,Barrel eye
Argentiniformes,Argentinidae,Glossanodon,semifasciatus,Glossanodon semifasciatus
Esociformes,Esocidae,Esox,,Pike
Salmoniformes,Salmonidae,Salmo,salar,Salmon
Salmoniformes,Salmonidae,Oncorhynchus,,Salmon
Salmoniformes,Salmonidae,Thymallus,arcticus,Thymallus arcticus
Osmeriformes,Osmeridae,Hypomesus,pretiosus,Hypomesus pretiosus
Stomiiformes,,,,Stomiatid
Aulopiformes,Alepisauridae,Alepisaurus,,Lancet fish
Aulopiformes,Synodontidae,,,Lizard fish
Myctophiformes,Myctophidae,,,Lantern fish
Gadiformes,Gadidae,Gadus,morhua,Atlantic cod
Gadiformes,Gadidae,Gadus,macrocephalus,Pacific cod
Perciformes,Coryphaenidae,Coryphaena,hippurus,Mahi mahi
Lampriformes,Regalecidae,,,Oarfish
Lampriformes,Trachipteridae,,,Ribbon fish
Lampriformes,Lampridae,Lampris,,Opah
Beryciformes,Monocentridae,Monocentris,,Monocentris reedi
Beryciformes,Anomalopidae,,,Flashlight fish
Beryciformes,Holocentridae,Holocentrus,adscensionis,Holocentrus adscensionis
Ophidiiformes,Ophidiidae,Porogadus,miles,Porogadus miles
Batrachoidiformes,Batrachoididae,Porichthys,notatus,Midshipman
Batrachoidiformes,Batrachoididae,,,Toadfish
Gobiiformes,Gobiidae,,,Goby
Gobiiformes,Gobiidae,,,Goby
Gobiiformes,Gobiidae,,,Goby
